LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
-0,101017;-0,228766;-0,0891383;-0,107463;-0,223572;-0,17567;-0,253771;0,00331746;-0,0566651;0,182526;0,90514;1;0,885256;U
-0,478482;-0,305253;-0,235294;-0,26328;-0,245155;-0,237901;-0,363746;-0,0419392;0,200515;0,671483;0,855941;0,825196;1;U
-0,12832;-0,129602;-0,113348;-0,000849103;-0,0865332;-0,0997769;0,154427;0,12908;0,176975;0,739217;0,883652;0,942933;1;U
-0,177016;-0,225276;-0,215094;-0,0879603;-0,0591574;0,113441;0,0159613;0,116;0,0500496;0,814496;0,869733;0,98554;1;U
0,0879423;0,240554;0,243336;0,198498;0,128985;0,33001;0,103514;0,140242;0,197461;0,535345;0,914681;0,91916;1;U
0,0793991;-0,261246;-0,173364;0,0689971;-0,0704397;0,0725126;0,0239082;0,0549787;0,40268;0,895642;0,902223;0,91929;0,951715;U
-0,0638376;0,214777;0,146197;0,225531;0,0785593;0,242449;0,286636;0,417132;0,525212;0,942634;0,909074;0,964214;0,914141;U
-0,209784;-0,212342;-0,388153;0,0453105;-0,0176448;-0,0371852;0,252386;0,361542;0,397436;0,886091;0,956931;0,899551;1;U
0,242064;0,0481234;0,117142;0,401557;0,228385;0,00965571;0,0334418;-0,202134;-0,149108;-0,00483413;0,644816;1;0,849657;U
-0,272026;-0,160341;-0,165645;-0,0591761;0,0337229;0,0333113;0,200796;0,180087;0,494862;0,915961;0,971414;0,970249;1;U
-0,034546;0,0973604;0,257345;0,159324;0,102394;-0,17483;0,048209;0,224792;0,256372;0,854987;0,996033;0,999966;1;U
0,256041;0,105228;0,2904;-0,00870145;0,0834509;-0,100052;-0,0150022;0,111373;0,230123;-0,0350965;0,769927;0,775067;1;U
-0,185486;-0,356607;0,0236854;0,00860408;-0,346521;-0,100626;-0,0962514;0,170489;0,281808;0,763402;0,832382;1;0,923784;U
0,0318595;0,360875;-0,00285849;0,263723;-0,0347988;0,213819;0,273182;0,173292;0,222475;0,442662;0,85822;0,918581;1;U
-0,100556;-0,00285509;0,0542392;-0,0887871;-0,0731247;0,178574;0,131008;0,212667;0,281997;0,631636;1;0,923061;0,753882;U
-0,0102618;-0,278608;-0,150653;-0,155143;-0,118541;-0,0612149;-0,021684;-0,0202774;0,0397258;-0,0119279;0,546696;0,904781;1;U
-0,386855;-0,103887;0,028615;0,272971;0,134641;-0,0446793;-0,358351;-0,148847;0,00474815;0,617836;1;0,874016;0,812591;U
0,235318;0,0303315;0,188253;0,169736;0,20965;0,32441;0,204844;0,178015;0,350385;0,644993;0,940549;1;0,800892;U
-0,476785;-0,383623;-0,385085;-0,112295;-0,480014;0,120759;-0,123053;-0,0627474;0,0892855;0,918578;0,930508;1;0,870648;U
-0,376767;-0,552232;-0,324785;-0,405365;-0,141941;-0,323574;-0,32223;-0,119158;-0,104989;0,423945;0,763156;0,865715;1;U
0,129744;0,267618;0,215336;0,0429017;0,095832;-0,0956604;0,0106002;0,0314071;0,0324475;-0,0309457;0,610824;0,675484;0,822138;U
-0,141135;0,053285;-0,0856764;-0,0896951;0,0387277;-0,10361;-0,0932049;0,11365;0,0366379;0,765722;0,971021;0,905626;1;U
0,060947;-0,00815892;-0,0170343;-0,423146;-0,294275;-0,356889;-0,167148;-0,456234;-0,432667;0,225974;0,557411;1;0,876487;U
0,0894111;0,017426;0,192703;-0,0268772;0,0929274;0,014139;0,387593;0,421772;0,247705;0,35561;0,497257;1;0,87675;U
-0,114907;-0,307648;-0,0370139;0,0728301;0,133867;0,063344;-0,0210423;0,0214522;0,110502;0,650677;0,794879;0,889277;1;U
